"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1323","User login with wrong email or password","LMS system","Sun Jun 28 19:42:41 UTC 2026","passed","Sun Jun 28 19:42:43 UTC 2026","Authorization","Authentication","",""
"","2127","User login with wrong email or password","LMS system","Sun Jun 28 19:42:39 UTC 2026","passed","Sun Jun 28 19:42:41 UTC 2026","Authorization","Authentication","",""
"","1735","Check displaying of dashboard page","LMS system","Sun Jun 28 19:42:50 UTC 2026","passed","Sun Jun 28 19:42:51 UTC 2026","Dashboard","Dashboard","",""
"","1270","Navigation from login page to registration page","LMS system","Sun Jun 28 19:42:44 UTC 2026","passed","Sun Jun 28 19:42:45 UTC 2026","Authorization","Authentication","",""
"","2201","User login with wrong email or password","LMS system","Sun Jun 28 19:42:39 UTC 2026","passed","Sun Jun 28 19:42:41 UTC 2026","Authorization","Authentication","",""
"","2538","User login with correct email and password","LMS system","Sun Jun 28 19:42:41 UTC 2026","passed","Sun Jun 28 19:42:44 UTC 2026","Authorization","Authentication","",""
"","2425","Create course","LMS system","Sun Jun 28 19:42:47 UTC 2026","passed","Sun Jun 28 19:42:49 UTC 2026","Courses","Courses","",""
"","2686","Edit course","LMS system","Sun Jun 28 19:42:48 UTC 2026","passed","Sun Jun 28 19:42:51 UTC 2026","Courses","Courses","",""
"","1450","Check displaying of empty courses list","LMS system","Sun Jun 28 19:42:47 UTC 2026","passed","Sun Jun 28 19:42:48 UTC 2026","Courses","Courses","",""
"","2171","Registration with correct email, username and password","LMS system","Sun Jun 28 19:42:43 UTC 2026","passed","Sun Jun 28 19:42:45 UTC 2026","Registration","Authentication","",""
