"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1909","User login with wrong email or password","LMS system","Mon Jun 22 15:05:30 UTC 2026","passed","Mon Jun 22 15:05:32 UTC 2026","Authorization","Authentication","",""
"","3862","Edit course","LMS system","Mon Jun 22 15:05:40 UTC 2026","passed","Mon Jun 22 15:05:44 UTC 2026","Courses","Courses","",""
"","2020","Check displaying of dashboard page","LMS system","Mon Jun 22 15:05:44 UTC 2026","passed","Mon Jun 22 15:05:46 UTC 2026","Dashboard","Dashboard","",""
"","3075","User login with correct email and password","LMS system","Mon Jun 22 15:05:32 UTC 2026","passed","Mon Jun 22 15:05:36 UTC 2026","Authorization","Authentication","",""
"","1706","Navigation from login page to registration page","LMS system","Mon Jun 22 15:05:34 UTC 2026","passed","Mon Jun 22 15:05:36 UTC 2026","Authorization","Authentication","",""
"","1586","User login with wrong email or password","LMS system","Mon Jun 22 15:05:32 UTC 2026","passed","Mon Jun 22 15:05:34 UTC 2026","Authorization","Authentication","",""
"","3081","Create course","LMS system","Mon Jun 22 15:05:40 UTC 2026","passed","Mon Jun 22 15:05:43 UTC 2026","Courses","Courses","",""
"","1943","User login with wrong email or password","LMS system","Mon Jun 22 15:05:30 UTC 2026","passed","Mon Jun 22 15:05:32 UTC 2026","Authorization","Authentication","",""
"","1885","Check displaying of empty courses list","LMS system","Mon Jun 22 15:05:38 UTC 2026","passed","Mon Jun 22 15:05:40 UTC 2026","Courses","Courses","",""
"","2149","Registration with correct email, username and password","LMS system","Mon Jun 22 15:05:36 UTC 2026","passed","Mon Jun 22 15:05:38 UTC 2026","Registration","Authentication","",""
