"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2133","User login with wrong email or password","LMS system","Sun Jun 28 19:40:42 UTC 2026","passed","Sun Jun 28 19:40:44 UTC 2026","Authorization","Authentication","",""
"","2247","Check displaying of dashboard page","LMS system","Sun Jun 28 19:40:56 UTC 2026","passed","Sun Jun 28 19:40:58 UTC 2026","Dashboard","Dashboard","",""
"","2963","Create course","LMS system","Sun Jun 28 19:40:52 UTC 2026","passed","Sun Jun 28 19:40:55 UTC 2026","Courses","Courses","",""
"","3215","User login with correct email and password","LMS system","Sun Jun 28 19:40:45 UTC 2026","passed","Sun Jun 28 19:40:48 UTC 2026","Authorization","Authentication","",""
"","1975","User login with wrong email or password","LMS system","Sun Jun 28 19:40:42 UTC 2026","passed","Sun Jun 28 19:40:44 UTC 2026","Authorization","Authentication","",""
"","1744","Navigation from login page to registration page","LMS system","Sun Jun 28 19:40:48 UTC 2026","passed","Sun Jun 28 19:40:50 UTC 2026","Authorization","Authentication","",""
"","1784","Check displaying of empty courses list","LMS system","Sun Jun 28 19:40:51 UTC 2026","passed","Sun Jun 28 19:40:53 UTC 2026","Courses","Courses","",""
"","3863","Edit course","LMS system","Sun Jun 28 19:40:53 UTC 2026","passed","Sun Jun 28 19:40:57 UTC 2026","Courses","Courses","",""
"","2091","Registration with correct email, username and password","LMS system","Sun Jun 28 19:40:47 UTC 2026","passed","Sun Jun 28 19:40:49 UTC 2026","Registration","Authentication","",""
"","1596","User login with wrong email or password","LMS system","Sun Jun 28 19:40:45 UTC 2026","passed","Sun Jun 28 19:40:46 UTC 2026","Authorization","Authentication","",""
