"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1933","User login with wrong email or password","LMS system","Wed Jun 24 13:54:51 UTC 2026","passed","Wed Jun 24 13:54:53 UTC 2026","Authorization","Authentication","",""
"","1806","Navigation from login page to registration page","LMS system","Wed Jun 24 13:54:55 UTC 2026","passed","Wed Jun 24 13:54:57 UTC 2026","Authorization","Authentication","",""
"","3283","Edit course","LMS system","Wed Jun 24 13:55:01 UTC 2026","passed","Wed Jun 24 13:55:05 UTC 2026","Courses","Courses","",""
"","1911","Check displaying of dashboard page","LMS system","Wed Jun 24 13:55:05 UTC 2026","passed","Wed Jun 24 13:55:07 UTC 2026","Dashboard","Dashboard","",""
"","1820","User login with wrong email or password","LMS system","Wed Jun 24 13:54:53 UTC 2026","passed","Wed Jun 24 13:54:55 UTC 2026","Authorization","Authentication","",""
"","1917","User login with wrong email or password","LMS system","Wed Jun 24 13:54:51 UTC 2026","passed","Wed Jun 24 13:54:53 UTC 2026","Authorization","Authentication","",""
"","3439","Create course","LMS system","Wed Jun 24 13:55:01 UTC 2026","passed","Wed Jun 24 13:55:04 UTC 2026","Courses","Courses","",""
"","1871","Check displaying of empty courses list","LMS system","Wed Jun 24 13:54:59 UTC 2026","passed","Wed Jun 24 13:55:01 UTC 2026","Courses","Courses","",""
"","2143","Registration with correct email, username and password","LMS system","Wed Jun 24 13:54:57 UTC 2026","passed","Wed Jun 24 13:54:59 UTC 2026","Registration","Authentication","",""
"","3423","User login with correct email and password","LMS system","Wed Jun 24 13:54:53 UTC 2026","passed","Wed Jun 24 13:54:56 UTC 2026","Authorization","Authentication","",""
