"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2333","Registration with correct email, username and password","LMS system","Wed Jun 24 07:27:32 UTC 2026","passed","Wed Jun 24 07:27:35 UTC 2026","Registration","Authentication","",""
"","1439","User login with wrong email or password","LMS system","Wed Jun 24 07:27:30 UTC 2026","passed","Wed Jun 24 07:27:32 UTC 2026","Authorization","Authentication","",""
"","1590","Navigation from login page to registration page","LMS system","Wed Jun 24 07:27:34 UTC 2026","passed","Wed Jun 24 07:27:36 UTC 2026","Authorization","Authentication","",""
"","3267","User login with correct email and password","LMS system","Wed Jun 24 07:27:30 UTC 2026","passed","Wed Jun 24 07:27:34 UTC 2026","Authorization","Authentication","",""
"","2707","Create course","LMS system","Wed Jun 24 07:27:37 UTC 2026","passed","Wed Jun 24 07:27:40 UTC 2026","Courses","Courses","",""
"","2203","Check displaying of dashboard page","LMS system","Wed Jun 24 07:27:41 UTC 2026","passed","Wed Jun 24 07:27:43 UTC 2026","Dashboard","Dashboard","",""
"","2160","User login with wrong email or password","LMS system","Wed Jun 24 07:27:28 UTC 2026","passed","Wed Jun 24 07:27:30 UTC 2026","Authorization","Authentication","",""
"","3662","Edit course","LMS system","Wed Jun 24 07:27:38 UTC 2026","passed","Wed Jun 24 07:27:42 UTC 2026","Courses","Courses","",""
"","1633","Check displaying of empty courses list","LMS system","Wed Jun 24 07:27:36 UTC 2026","passed","Wed Jun 24 07:27:38 UTC 2026","Courses","Courses","",""
"","2019","User login with wrong email or password","LMS system","Wed Jun 24 07:27:28 UTC 2026","passed","Wed Jun 24 07:27:30 UTC 2026","Authorization","Authentication","",""
