"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","User login with wrong email or password","LMS system","Mon Jun 22 15:12:13 UTC 2026","passed","Mon Jun 22 15:12:15 UTC 2026","Authorization","Authentication","",""
"","3036","User login with correct email and password","LMS system","Mon Jun 22 15:12:16 UTC 2026","passed","Mon Jun 22 15:12:19 UTC 2026","Authorization","Authentication","",""
"","3658","Edit course","LMS system","Mon Jun 22 15:12:23 UTC 2026","passed","Mon Jun 22 15:12:27 UTC 2026","Courses","Courses","",""
"","1677","Navigation from login page to registration page","LMS system","Mon Jun 22 15:12:18 UTC 2026","passed","Mon Jun 22 15:12:19 UTC 2026","Authorization","Authentication","",""
"","2738","Create course","LMS system","Mon Jun 22 15:12:23 UTC 2026","passed","Mon Jun 22 15:12:25 UTC 2026","Courses","Courses","",""
"","1654","Check displaying of empty courses list","LMS system","Mon Jun 22 15:12:21 UTC 2026","passed","Mon Jun 22 15:12:23 UTC 2026","Courses","Courses","",""
"","2076","Check displaying of dashboard page","LMS system","Mon Jun 22 15:12:26 UTC 2026","passed","Mon Jun 22 15:12:28 UTC 2026","Dashboard","Dashboard","",""
"","1794","Registration with correct email, username and password","LMS system","Mon Jun 22 15:12:19 UTC 2026","passed","Mon Jun 22 15:12:21 UTC 2026","Registration","Authentication","",""
"","1646","User login with wrong email or password","LMS system","Mon Jun 22 15:12:16 UTC 2026","passed","Mon Jun 22 15:12:17 UTC 2026","Authorization","Authentication","",""
"","1962","User login with wrong email or password","LMS system","Mon Jun 22 15:12:13 UTC 2026","passed","Mon Jun 22 15:12:15 UTC 2026","Authorization","Authentication","",""
