"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1388","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2473","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2134","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1565","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1759","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1317","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1250","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1523","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","2407","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2109","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
