"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1705","Navigation from login page to registration page","LMS system","Tue Jun 23 13:49:22 UTC 2026","passed","Tue Jun 23 13:49:24 UTC 2026","Authorization","Authentication","",""
"","1902","User login with wrong email or password","LMS system","Tue Jun 23 13:49:17 UTC 2026","passed","Tue Jun 23 13:49:19 UTC 2026","Authorization","Authentication","",""
"","1943","User login with wrong email or password","LMS system","Tue Jun 23 13:49:17 UTC 2026","passed","Tue Jun 23 13:49:19 UTC 2026","Authorization","Authentication","",""
"","1658","User login with wrong email or password","LMS system","Tue Jun 23 13:49:20 UTC 2026","passed","Tue Jun 23 13:49:21 UTC 2026","Authorization","Authentication","",""
"","1699","Check displaying of empty courses list","LMS system","Tue Jun 23 13:49:25 UTC 2026","passed","Tue Jun 23 13:49:27 UTC 2026","Courses","Courses","",""
"","3284","Edit course","LMS system","Tue Jun 23 13:49:27 UTC 2026","passed","Tue Jun 23 13:49:31 UTC 2026","Courses","Courses","",""
"","3164","User login with correct email and password","LMS system","Tue Jun 23 13:49:20 UTC 2026","passed","Tue Jun 23 13:49:23 UTC 2026","Authorization","Authentication","",""
"","1963","Registration with correct email, username and password","LMS system","Tue Jun 23 13:49:23 UTC 2026","passed","Tue Jun 23 13:49:25 UTC 2026","Registration","Authentication","",""
"","1936","Check displaying of dashboard page","LMS system","Tue Jun 23 13:49:30 UTC 2026","passed","Tue Jun 23 13:49:32 UTC 2026","Dashboard","Dashboard","",""
"","2701","Create course","LMS system","Tue Jun 23 13:49:27 UTC 2026","passed","Tue Jun 23 13:49:30 UTC 2026","Courses","Courses","",""
