"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2110","Registration with correct email, username and password","LMS system","Sun Jun 28 20:13:18 UTC 2026","passed","Sun Jun 28 20:13:20 UTC 2026","Registration","Authentication","",""
"","2144","User login with wrong email or password","LMS system","Sun Jun 28 20:13:13 UTC 2026","passed","Sun Jun 28 20:13:16 UTC 2026","Authorization","Authentication","",""
"","1630","User login with wrong email or password","LMS system","Sun Jun 28 20:13:16 UTC 2026","passed","Sun Jun 28 20:13:18 UTC 2026","Authorization","Authentication","",""
"","3241","Edit course","LMS system","Sun Jun 28 20:13:24 UTC 2026","passed","Sun Jun 28 20:13:27 UTC 2026","Courses","Courses","",""
"","3208","User login with correct email and password","LMS system","Sun Jun 28 20:13:16 UTC 2026","passed","Sun Jun 28 20:13:19 UTC 2026","Authorization","Authentication","",""
"","2170","User login with wrong email or password","LMS system","Sun Jun 28 20:13:13 UTC 2026","passed","Sun Jun 28 20:13:16 UTC 2026","Authorization","Authentication","",""
"","1632","Navigation from login page to registration page","LMS system","Sun Jun 28 20:13:20 UTC 2026","passed","Sun Jun 28 20:13:21 UTC 2026","Authorization","Authentication","",""
"","1650","Check displaying of empty courses list","LMS system","Sun Jun 28 20:13:22 UTC 2026","passed","Sun Jun 28 20:13:24 UTC 2026","Courses","Courses","",""
"","2315","Create course","LMS system","Sun Jun 28 20:13:23 UTC 2026","passed","Sun Jun 28 20:13:25 UTC 2026","Courses","Courses","",""
"","2072","Check displaying of dashboard page","LMS system","Sun Jun 28 20:13:26 UTC 2026","passed","Sun Jun 28 20:13:28 UTC 2026","Dashboard","Dashboard","",""
